JobID,Company,Role,RequiredSkills,NumRounds,Location,Package_LPA,ExperienceLevel
J001,Netflix,DevOps Engineer,"Docker | AWS | PostgreSQL | TensorFlow | Next.js",6,"London, UK",22,Mid-Level
J002,Netflix,Site Reliability Engineer,"Java | Docker | Go | Kafka | TensorFlow | Agile",3,"Seattle, WA",50,Entry Level
J003,Snowflake,Data Scientist,"Next.js | GraphQL | React | SQL",6,"Toronto, Canada",53,Entry Level
J004,Salesforce,Site Reliability Engineer,"AWS | Go | Spark",3,"Austin, TX",43,Mid-Level
J005,Airbnb,Site Reliability Engineer,"Go | Next.js | TensorFlow | MongoDB",5,"Seattle, WA",16,Entry Level
J006,Airbnb,Site Reliability Engineer,"Docker | SQL | React",7,"London, UK",57,Entry Level
J007,Databricks,DevOps Engineer,"Docker | MongoDB | AWS | Node.js",6,"Toronto, Canada",22,Mid-Level
J008,Uber,Frontend Engineer,"PyTorch | System Design | Redis | Python | AWS | Node.js",6,"London, UK",38,Senior
J009,Apple,Machine Learning Engineer,"GraphQL | Java | PyTorch | Spark | System Design",5,"Seattle, WA",47,Mid-Level
J010,Netflix,UX Researcher,"Agile | AWS | Node.js | Next.js | TypeScript | TensorFlow",4,"Austin, TX",15,Junior
J011,Stripe,Data Scientist,"PostgreSQL | TensorFlow | Agile | Next.js",7,"London, UK",23,Mid-Level
J012,Apple,UX Researcher,"C++ | PostgreSQL | Java",7,"Toronto, Canada",30,Senior
J013,Stripe,Software Engineer,"Docker | PostgreSQL | PyTorch",5,"Austin, TX",16,Entry Level
J014,Intuit,UX Researcher,"MongoDB | Spark | System Design | React | Kubernetes | TypeScript",6,"Remote",59,Entry Level
J015,Meta,Machine Learning Engineer,"AWS | Docker | MongoDB | Kafka | Python | SQL",3,"London, UK",31,Senior
J016,Stripe,Product Manager,"C++ | Java | Spark | TypeScript | TensorFlow",6,"London, UK",49,Entry Level
J017,Google,Data Scientist,"PyTorch | SQL | System Design | Python | TensorFlow | MongoDB",6,"San Francisco, CA",54,Entry Level
J018,LinkedIn,Product Manager,"C++ | PostgreSQL | Agile | Next.js",3,"New York, NY",35,Mid-Level
J019,Palantir,UX Researcher,"GraphQL | AWS | PyTorch",4,"Seattle, WA",25,Mid-Level
J020,LinkedIn,DevOps Engineer,"SQL | React | TensorFlow",5,"Remote",34,Entry Level
J021,Intuit,Machine Learning Engineer,"Kubernetes | Java | GraphQL | TensorFlow | TypeScript",6,"San Francisco, CA",29,Junior
J022,Atlassian,Security Analyst,"AWS | Java | Python | Go | PostgreSQL | System Design",3,"Austin, TX",19,Mid-Level
J023,LinkedIn,UX Researcher,"React | Docker | Node.js | MongoDB | AWS | Kafka",5,"New York, NY",37,Senior
J024,Salesforce,Frontend Engineer,"MongoDB | Docker | AWS",5,"New York, NY",21,Mid-Level
J025,Databricks,Product Manager,"AWS | Docker | Spark | System Design",4,"San Francisco, CA",30,Senior
J026,Google,Machine Learning Engineer,"C++ | Docker | React | Spark | PostgreSQL",3,"Bengaluru, India",55,Mid-Level
J027,Adobe,Site Reliability Engineer,"PyTorch | Next.js | Spark | Docker | AWS | TypeScript",7,"Austin, TX",39,Mid-Level
J028,Nvidia,Product Manager,"PostgreSQL | React | TensorFlow | TypeScript | MongoDB",7,"San Francisco, CA",44,Entry Level
J029,Microsoft,Site Reliability Engineer,"Spark | Kafka | React",6,"London, UK",28,Junior
J030,Airbnb,Machine Learning Engineer,"AWS | Python | Next.js | Docker | PyTorch",3,"London, UK",42,Junior
J031,Apple,Site Reliability Engineer,"Redis | AWS | Kafka",5,"Austin, TX",54,Entry Level
J032,LinkedIn,Site Reliability Engineer,"MongoDB | C++ | Kafka",7,"New York, NY",50,Mid-Level
J033,Nvidia,Software Engineer,"PostgreSQL | Go | GraphQL",5,"Bengaluru, India",21,Entry Level
J034,Salesforce,Site Reliability Engineer,"AWS | PyTorch | TensorFlow | Agile | System Design | Kafka",3,"New York, NY",15,Senior
J035,Airbnb,Backend Engineer,"React | MongoDB | TypeScript | GraphQL | Node.js",6,"Toronto, Canada",53,Mid-Level
J036,Palantir,Backend Engineer,"Kafka | Redis | AWS | TensorFlow | TypeScript | PostgreSQL",3,"San Francisco, CA",47,Mid-Level
J037,Adobe,Data Scientist,"C++ | Kubernetes | Redis | TensorFlow | Next.js",4,"Bengaluru, India",30,Mid-Level
J038,Adobe,Site Reliability Engineer,"Python | PyTorch | Kubernetes | TypeScript",5,"London, UK",37,Mid-Level
J039,Adobe,Frontend Engineer,"Spark | C++ | Node.js | Kubernetes | AWS",7,"Toronto, Canada",53,Junior
J040,Apple,Site Reliability Engineer,"Redis | GraphQL | Docker | TypeScript | PyTorch",6,"London, UK",47,Junior
J041,Databricks,Data Scientist,"React | Redis | PyTorch",7,"Austin, TX",48,Junior
J042,LinkedIn,Software Engineer,"AWS | PyTorch | Node.js",4,"San Francisco, CA",17,Mid-Level
J043,Salesforce,Frontend Engineer,"Spark | Python | C++ | Go | SQL",4,"Seattle, WA",32,Junior
J044,LinkedIn,Frontend Engineer,"Docker | PyTorch | GraphQL | C++",6,"London, UK",12,Entry Level
J045,Uber,Machine Learning Engineer,"React | C++ | TensorFlow | Redis | Kubernetes | Go",5,"Boston, MA",24,Senior
J046,Palantir,UX Researcher,"React | Docker | PostgreSQL | SQL",5,"Toronto, Canada",53,Entry Level
J047,Adobe,Security Analyst,"Java | TypeScript | Node.js | C++ | Next.js | Kubernetes",7,"Bengaluru, India",23,Junior
J048,Intuit,Product Manager,"MongoDB | Docker | TypeScript | SQL",5,"Austin, TX",56,Junior
J049,Tesla,Site Reliability Engineer,"Next.js | Java | GraphQL | Agile | TensorFlow | Docker",7,"San Francisco, CA",45,Senior
J050,Snowflake,DevOps Engineer,"React | PostgreSQL | PyTorch | Next.js | Docker",5,"London, UK",58,Senior
J051,Stripe,Security Analyst,"React | Node.js | Redis",6,"Bengaluru, India",35,Junior
J052,Airbnb,Machine Learning Engineer,"PostgreSQL | Docker | Kafka | TypeScript",5,"Boston, MA",12,Junior
J053,Palantir,Site Reliability Engineer,"MongoDB | GraphQL | Redis | TensorFlow",6,"Boston, MA",12,Senior
J054,Salesforce,Machine Learning Engineer,"Kubernetes | Go | Agile | Kafka | Redis | PostgreSQL",6,"London, UK",12,Entry Level
J055,LinkedIn,Frontend Engineer,"Java | Next.js | AWS | PyTorch | System Design | GraphQL",7,"Boston, MA",60,Junior
J056,Intuit,Data Scientist,"Python | Node.js | Spark | TypeScript",6,"New York, NY",23,Mid-Level
